,,Well,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
TQNGfree,1020,522,18189,18970,22584,21025,19007,21337,20650,20472,20834,20680,18934,21217,24203,20177,19890,20254,20420,20071
TQNGfree,1020,523,17604,18336,21916,20340,18409,20647,19998,19810,20184,20072,18376,20546,23437,19566,19292,19658,19833,19439
TQNGfree,1020,524,16697,17434,20807,19317,17507,19565,18905,18837,19142,18939,17403,19512,22281,18552,18296,18580,18840,18418
TQNGfree,1020,525,16114,16825,20057,18595,16845,18919,18271,18186,18468,18297,16801,18819,21443,17853,17642,17892,18119,17814
TQNGfree,1020,526,15413,16099,19123,17784,16109,18041,17534,17351,17618,17520,16022,17993,20524,17077,16869,17172,17376,16985
TQNGfree,1020,527,14825,15429,18390,17047,15462,17390,16820,16681,16940,16791,15393,17268,19700,16380,16173,16427,16641,16219
TQNGfree,1020,528,14415,15034,17932,16665,15105,16955,16373,16218,16529,16391,15045,16809,19193,15941,15795,16020,16250,15821
TQNGfree,1020,529,14068,14664,17464,16234,14721,16520,15979,15852,16168,15987,14656,16410,18740,15608,15370,15572,15799,15414
TQNGfree,1020,530,13736,14288,17046,15863,14410,16137,15550,15446,15705,15640,14317,16013,18271,15168,14982,15187,15424,15022
TQNGfree,1020,531,13448,13966,16620,15519,14018,15822,15217,15048,15320,15227,13944,15608,17838,14773,14612,14846,14988,14658
TQNGfree,1020,532,13099,13601,16290,15158,13756,15404,14844,14685,14898,14830,13603,15286,17399,14403,14292,14480,14629,14255
TQNGfree,1020,533,12831,13336,15925,14827,13422,15130,14521,14289,14604,14435,13304,14941,16973,14134,13907,14161,14286,13914
TQNGfree,1020,534,12417,12936,15537,14405,13025,14647,14126,13954,14175,14099,12913,14502,16495,13682,13493,13682,13843,13512
TQNGfree,1020,535,12129,12669,15167,14057,12735,14362,13771,13664,13891,13776,12633,14147,16141,13392,13222,13429,13585,13211
TQNGfree,1020,536,12025,12475,14957,13904,12556,14158,13575,13465,13608,13581,12410,13981,15923,13186,13068,13219,13338,13039
TQNGfree,1020,537,11642,12092,14471,13435,12164,13665,13180,13004,13180,13115,12045,13522,15337,12737,12582,12782,12923,12628
TQNGfree,1020,538,11387,11850,14185,13180,11930,13470,12862,12729,12949,12818,11749,13226,15087,12511,12339,12528,12648,12343
TQNGfree,1020,539,11093,11523,13817,12750,11547,13089,12507,12358,12571,12497,11439,12853,14659,12162,12002,12138,12270,11975
TQNGfree,1020,540,10851,11299,13537,12580,11350,12816,12275,12137,12276,12259,11235,12629,14321,11891,11737,11953,12063,11762
TQNGfree,1020,541,10768,11196,13386,12456,11247,12695,12179,11982,12213,12131,11109,12452,14213,11838,11680,11815,11970,11649
TQNGfree,1020,542,10389,10777,12900,11964,10804,12229,11772,11549,11763,11669,10674,12022,13684,11404,11195,11384,11500,11220
TQNGfree,1020,543,10179,10532,12660,11741,10594,11954,11475,11322,11483,11446,10455,11747,13369,11128,10988,11138,11231,10937
TQNGfree,1020,544,9834,10193,12236,11335,10243,11583,11110,10924,11114,11064,10134,11352,12965,10788,10630,10769,10861,10588
TQNGfree,1020,545,9549,9918,11855,10939,9978,11229,10767,10670,10809,10725,9832,11047,12610,10458,10332,10448,10526,10273
TQNGfree,1020,546,9229,9597,11502,10625,9639,10875,10468,10356,10496,10411,9589,10714,12198,10126,10016,10171,10258,9917
TQNGfree,1020,547,8839,9206,10973,10189,9224,10446,9969,9869,10044,9985,9133,10290,11689,9716,9572,9664,9773,9497
TQNGfree,1020,548,8476,8875,10588,9794,8851,10036,9622,9465,9594,9570,8715,9830,11204,9359,9204,9326,9385,9145
TQNGfree,1020,549,8233,8540,10218,9423,8584,9702,9316,9187,9268,9292,8448,9538,10812,8962,8887,9005,9071,8874
TQNGfree,1020,550,7852,8166,9749,9041,8195,9263,8878,8794,8916,8854,8120,9112,10399,8578,8502,8624,8675,8503
TQNGfree,1020,551,7513,7758,9332,8641,7841,8851,8476,8375,8507,8471,7771,8736,9878,8230,8114,8234,8293,8087
TQNGfree,1020,552,7229,7519,8946,8289,7521,8479,8178,8040,8193,8162,7459,8369,9531,7939,7810,7916,7982,7838
TQNGfree,1020,553,6956,7235,8647,8022,7241,8178,7846,7777,7913,7868,7156,8066,9203,7658,7551,7636,7703,7550
TQNGfree,1020,554,6758,7047,8431,7842,7110,7983,7666,7613,7730,7668,7025,7860,8965,7426,7348,7485,7544,7363
TQNGfree,1020,555,6495,6801,8090,7471,6794,7655,7348,7237,7397,7384,6763,7588,8593,7153,7084,7177,7236,7068
TQNGfree,1020,556,6269,6581,7825,7270,6563,7391,7115,7043,7137,7143,6516,7335,8333,6918,6842,6954,7006,6832
TQNGfree,1020,557,6081,6339,7566,6994,6382,7176,6912,6804,6918,6888,6304,7089,8091,6705,6615,6717,6802,6630
